term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202650,ALL,COMP,Computer Science,1780,COMP 1101,1,Analytical Inquiry I,Online/Distance,20-JUN-2026 to 21-AUG-2026,,,4,,,30,2,,,,,
202650,ALL,COMP,Computer Science,1341,COMP 3421,1,Database Organization & Mgmt I,Lecture,20-JUN-2026 to 21-AUG-2026,5:00PM-6:50PM,"M,W",4,ECS 200,,30,8,,,,,
202650,ALL,COMP,Computer Science,1804,COMP 3433,1,Data Visualization,Online/Distance,20-JUN-2026 to 21-AUG-2026,7:00PM-8:50PM,R,4,,"Kossek, Wojciech K.",1,1,,,,,
202650,ALL,COMP,Computer Science,1352,COMP 3704,1,Advanced Topics: Systems,Lecture,20-JUN-2026 to 21-AUG-2026,5:00PM-6:50PM,"T,R",4,ECS 201,,5,4,,,,,
202650,ALL,COMP,Computer Science,1822,COMP 3904,1,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,20-JUN-2026 to 21-AUG-2026,,,0,,"Xie, Benjamin X.",1,0,,,,,
202650,ALL,COMP,Computer Science,1342,COMP 4432,1,Machine Learning,Online/Distance,20-JUN-2026 to 21-AUG-2026,7:00PM-8:50PM,W,4,,"Sawle, Paul L.",25,14,,,,,
202650,ALL,COMP,Computer Science,1343,COMP 4433,1,Data Visualization,Online/Distance,20-JUN-2026 to 21-AUG-2026,7:00PM-8:50PM,R,4,,"Kossek, Wojciech K.",25,9,,,,,
202650,ALL,COMP,Computer Science,1344,COMP 4442,1,Probability and Statistics 2,Online/Distance,20-JUN-2026 to 21-AUG-2026,5:00PM-6:50PM,R,4,,,25,10,,,,,
202650,ALL,COMP,Computer Science,1346,COMP 4450,1,Machine Learning Operations,Online/Distance,20-JUN-2026 to 21-AUG-2026,5:00PM-6:50PM,T,4,,,25,18,,,,,
202650,ALL,COMP,Computer Science,1347,COMP 4455,1,Shell Scripting & Sys Tools,Lecture/Lab,20-JUN-2026 to 21-AUG-2026,7:00PM-8:50PM,"T,R",4,ECS 200,"Evans, Nathan S.",20,10,,,,,
202650,ALL,COMP,Computer Science,1351,COMP 4704,1,Advanced Topics-Systems,Lecture,20-JUN-2026 to 21-AUG-2026,5:00PM-6:50PM,"T,R",4,ECS 201,"Hannum, Andrew T.",20,6,,,,,
202650,ALL,COMP,Computer Science,1348,COMP 4799,1,Cybersecurity Capstone,Directed Study/Research,20-JUN-2026 to 21-AUG-2026,,,4,,,20,6,,,,,
