Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202630,3111,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-10:50AM,"T,R",2,,"Oleson, Alannah",30,0,0,0,,,,,
202630,3112,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,11:00AM-11:50AM,"T,R",2,,"Oleson, Alannah",30,0,0,0,,,,,
202630,3115,COMP 1352,1,Introduction to Programming II,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Stevens, Alexander L.",30,0,0,0,,,,,
202630,3116,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Liu, Faan Tone",30,0,0,0,,,,,
202630,3117,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Albow, Mohammed M.",30,0,0,0,,,,,
202630,3121,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",3,,"Albow, Mohammed M.",30,0,0,0,,,,,
202630,3596,COMP 2361,1,Systems I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,12:00PM-1:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,0,0,,,,,
202630,3597,COMP 2361,2,Systems I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,0,0,,,,,
202630,3719,COMP 2701,1,Topics in Computer Science,Online/Distance,30-MAR-2026 to 11-JUN-2026,,,1,,"Rutherford, Matthew J.",50,0,0,0,,,,,
202630,2786,COMP 3006,101,Python Software Development,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,R,4,,,20,0,0,0,,,,,
202630,2584,COMP 3007,101,Foundations: DS Math I,Online/Distance,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,T,4,,,20,0,0,0,,,,,
202630,2586,COMP 3008,101,Foundations: DS Math II,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,W,4,,,20,0,0,0,,,,,
202630,4149,COMP 3100,1,Human-Computer Interaction,Lecture,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"M,W",4,,"Oleson, Alannah",30,0,0,0,,,,,
202630,2251,COMP 3351,1,Programming Languages,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",4,,"Edgington, Jeffrey M.",36,0,0,0,,,,,
202630,2800,COMP 3356,1,Introductory C/C++ Programming,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,"M,W",4,,,25,0,0,0,,,,,
202630,1288,COMP 3371,1,Data Structures &  Algorithms,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",4,,"Lopez, Mario A.",32,0,0,0,,,,,
202630,3720,COMP 3382,1,Software Engineering II,Lecture,30-MAR-2026 to 11-JUN-2026,4:00PM-5:50PM,"M,W",4,,,30,0,0,0,,,,,
202630,4168,COMP 3382,2,Software Engineering II,Lecture,30-MAR-2026 to 11-JUN-2026,4:00PM-5:50PM,"T,R",4,,"Rutherford, Matthew J.",30,0,0,0,,,,,
202630,4150,COMP 3411,1,Web Programming II,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",4,,"Hannum, Andrew T.",30,0,0,0,,,,,
202630,2588,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,W,4,,,25,0,0,0,,,,,
202630,3126,COMP 3703,2,Topics-Artificial Intelligence,Lecture,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"T,R",4,,"Hutt, Stephen J.",22,0,0,0,,,,,
202630,3599,COMP 3703,3,Topics-Artificial Intelligence,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",4,,,15,0,0,0,,,,,
202630,3124,COMP 3705,1,Topics in Computer Science,Lecture,30-MAR-2026 to 11-JUN-2026,12:00PM-1:50PM,"M,W",4,,,28,0,0,0,,,,,
202630,3125,COMP 3705,2,Topics in Computer Science,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",4,,,20,0,0,0,,,,,
202630,4138,COMP 3705,4,Topics in Computer Science,Lecture,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"T,R",4,,,20,0,0,0,,,,,
202630,4517,COMP 3705,5,Topics in Computer Science,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",4,,"Durso, Catherine S.",20,0,0,0,,,,,
202630,2252,COMP 3722,1,Network Security,Lecture,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,"T,R",4,,"Dewri, Rinku",15,0,0,0,,,,,
202630,2805,COMP 3723,1,Ethical Hacking,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,"M,W",4,,"Evans, Nathan S.",26,0,0,0,,,,,
202630,2785,COMP 3801,1,Introduction Computer Graphics,Lecture,30-MAR-2026 to 11-JUN-2026,4:00PM-5:50PM,"M,W",4,,"Kraft, Aaron R.",30,0,0,0,,,,,
202630,4137,COMP 3821,1,Game Programming I,Lecture,30-MAR-2026 to 11-JUN-2026,6:00PM-7:50PM,"M,W",4,,,20,0,0,0,,,,,
202630,2067,COMP 3833,1,Game Capstone II,Online/Distance,30-MAR-2026 to 11-JUN-2026,6:00PM-8:50PM,W,4,,"Gansciu, Serban B.",10,0,0,0,,,,,
202630,2787,COMP 4334,101,Parallel & Distrib Comp DSAI,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,M,4,,,20,0,0,0,,,,,
202630,2440,COMP 4384,2,Secure Software Engineering,Lecture,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,"T,R",4,,,24,0,0,0,,,,,
202630,2788,COMP 4432,101,Machine Learning,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,W,4,,,20,0,0,0,,,,,
