term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202530,ALL,COMP,Computer Science,1619,COMP 1101,1,Analytical Inquiry I,Lecture,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"T,R",4,ECS 301,"Gao, Sky T.",35,29,10-JUN-2025 to 10-JUN-2025,2:00PM-3:50PM,T,ECS 301,
202530,ALL,COMP,Computer Science,3520,COMP 1101,2,Analytical Inquiry I,Lecture,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"T,R",4,ECS 201,"Gao, Sky T.",30,28,10-JUN-2025 to 10-JUN-2025,12:00PM-1:50PM,T,ECS 201,
202530,ALL,COMP,Computer Science,5339,COMP 1101,3,Analytical Inquiry I,Lecture,31-MAR-2025 to 12-JUN-2025,2:00PM-3:50PM,"T,R",4,ECS 400,"Stevens, Alexander L.",25,6,,,,,
202530,ALL,COMP,Computer Science,3416,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,32,,,,,
202530,ALL,COMP,Computer Science,3417,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-12:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",36,36,,,,,
202530,ALL,COMP,Computer Science,5226,COMP 1351,1,Introduction to Programming I,Directed Study/Research,31-MAR-2025 to 12-JUN-2025,,,3,,"Edgington, Jeffrey M.",1,1,,,,,
202530,ALL,COMP,Computer Science,3420,COMP 1352,1,Introduction to Programming II,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"T,R",3,ECS 400,"Liu, Faan Tone",30,23,10-JUN-2025 to 10-JUN-2025,12:00PM-1:50PM,T,ECS 400,
202530,ALL,COMP,Computer Science,3422,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",3,ECS 300,"Albow, Mohammed M.",35,34,09-JUN-2025 to 09-JUN-2025,10:00AM-11:50AM,M,ECS 300,
202530,ALL,COMP,Computer Science,3424,COMP 1353,4,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"M,W",3,SIE 2110,"Albow, Mohammed M.",35,35,09-JUN-2025 to 09-JUN-2025,12:00PM-1:50PM,M,SIE 2110,
202530,ALL,COMP,Computer Science,3426,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",3,ECS 300,"Anjum, Iffat",32,25,10-JUN-2025 to 10-JUN-2025,10:00AM-11:50AM,T,ECS 300,
202530,ALL,COMP,Computer Science,4153,COMP 2361,1,Systems I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",37,36,,,,,
202530,ALL,COMP,Computer Science,4154,COMP 2361,2,Systems I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"M,W",4,CMK 207,"Stevenson, Daniel E.",34,32,,,,,
